"(No Title)"
	"2026-08-"	"4 13:36:35"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"MEA_OMEGA3_2026"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MAK324_ADAMS_STUDENT.Last_Run.MEA_OMEGA3_2026.TIME"	".MAK324_ADAMS_STUDENT.Last_Run.MEA_OMEGA3_2026.Q"
0.000000e+00	-9.230769e+01
2.777778e-03	-9.851030e+01
5.555556e-03	-1.047226e+02
8.333333e-03	-1.109345e+02
1.111111e-02	-1.171359e+02
1.388889e-02	-1.233157e+02
1.666667e-02	-1.294629e+02
1.944444e-02	-1.355656e+02
2.222222e-02	-1.416121e+02
2.500000e-02	-1.475901e+02
2.777778e-02	-1.534871e+02
3.055556e-02	-1.592908e+02
3.333333e-02	-1.649883e+02
3.611111e-02	-1.705672e+02
3.888889e-02	-1.760149e+02
4.166667e-02	-1.813191e+02
4.444444e-02	-1.864677e+02
4.722222e-02	-1.914488e+02
5.000000e-02	-1.962513e+02
5.277778e-02	-2.008642e+02
5.555556e-02	-2.052773e+02
5.833333e-02	-2.094810e+02
6.111111e-02	-2.134665e+02
6.388889e-02	-2.172256e+02
6.666667e-02	-2.207512e+02
6.944444e-02	-2.240369e+02
7.222222e-02	-2.270774e+02
7.500000e-02	-2.298682e+02
7.777778e-02	-2.324060e+02
8.055556e-02	-2.346883e+02
8.333333e-02	-2.367138e+02
8.611111e-02	-2.384819e+02
8.888889e-02	-2.399934e+02
9.166667e-02	-2.412498e+02
9.444444e-02	-2.422534e+02
9.722222e-02	-2.430077e+02
1.000000e-01	-2.435169e+02
1.027778e-01	-2.437858e+02
1.055556e-01	-2.438202e+02
1.083333e-01	-2.436263e+02
1.111111e-01	-2.432112e+02
1.138889e-01	-2.425821e+02
1.166667e-01	-2.417471e+02
1.194444e-01	-2.407144e+02
1.222222e-01	-2.394926e+02
1.250000e-01	-2.380906e+02
1.277778e-01	-2.365173e+02
1.305556e-01	-2.347818e+02
1.333333e-01	-2.328936e+02
1.361111e-01	-2.308617e+02
1.388889e-01	-2.286953e+02
1.416667e-01	-2.264036e+02
1.444444e-01	-2.239955e+02
1.472222e-01	-2.214799e+02
1.500000e-01	-2.188654e+02
1.527778e-01	-2.161604e+02
1.555556e-01	-2.133730e+02
1.583333e-01	-2.105110e+02
1.611111e-01	-2.075821e+02
1.638889e-01	-2.045936e+02
1.666667e-01	-2.015523e+02
1.694444e-01	-1.984650e+02
1.722222e-01	-1.953380e+02
1.750000e-01	-1.921772e+02
1.777778e-01	-1.889883e+02
1.805556e-01	-1.857766e+02
1.833333e-01	-1.825472e+02
1.861111e-01	-1.793048e+02
1.888889e-01	-1.760537e+02
1.916667e-01	-1.727981e+02
1.944444e-01	-1.695417e+02
1.972222e-01	-1.662881e+02
2.000000e-01	-1.630406e+02
2.027778e-01	-1.598021e+02
2.055556e-01	-1.565753e+02
2.083333e-01	-1.533628e+02
2.111111e-01	-1.501669e+02
2.138889e-01	-1.469897e+02
2.166667e-01	-1.438329e+02
2.194444e-01	-1.406983e+02
2.222222e-01	-1.375874e+02
2.250000e-01	-1.345015e+02
2.277778e-01	-1.314417e+02
2.305556e-01	-1.284091e+02
2.333333e-01	-1.254046e+02
2.361111e-01	-1.224288e+02
2.388889e-01	-1.194825e+02
2.416667e-01	-1.165661e+02
2.444444e-01	-1.136800e+02
2.472222e-01	-1.108246e+02
2.500000e-01	-1.080000e+02
2.527778e-01	-1.052064e+02
2.555556e-01	-1.024439e+02
2.583333e-01	-9.971234e+01
2.611111e-01	-9.701178e+01
2.638889e-01	-9.434206e+01
2.666667e-01	-9.170297e+01
2.694444e-01	-8.909428e+01
2.722222e-01	-8.651571e+01
2.750000e-01	-8.396695e+01
2.777778e-01	-8.144764e+01
2.805556e-01	-7.895739e+01
2.833333e-01	-7.649579e+01
2.861111e-01	-7.406239e+01
2.888889e-01	-7.165674e+01
2.916667e-01	-6.927834e+01
2.944444e-01	-6.692671e+01
2.972222e-01	-6.460133e+01
3.000000e-01	-6.230167e+01
3.027778e-01	-6.002720e+01
3.055556e-01	-5.777737e+01
3.083333e-01	-5.555164e+01
3.111111e-01	-5.334945e+01
3.138889e-01	-5.117023e+01
3.166667e-01	-4.901344e+01
3.194444e-01	-4.687851e+01
3.222222e-01	-4.476487e+01
3.250000e-01	-4.267198e+01
3.277778e-01	-4.059927e+01
3.305556e-01	-3.854619e+01
3.333333e-01	-3.651219e+01
3.361111e-01	-3.449673e+01
3.388889e-01	-3.249927e+01
3.416667e-01	-3.051928e+01
3.444444e-01	-2.855623e+01
3.472222e-01	-2.660960e+01
3.500000e-01	-2.467890e+01
3.527778e-01	-2.276361e+01
3.555556e-01	-2.086324e+01
3.583333e-01	-1.897731e+01
3.611111e-01	-1.710536e+01
3.638889e-01	-1.524690e+01
3.666667e-01	-1.340149e+01
3.694444e-01	-1.156869e+01
3.722222e-01	-9.748060e+00
3.750000e-01	-7.939182e+00
3.777778e-01	-6.141643e+00
3.805556e-01	-4.355042e+00
3.833333e-01	-2.578993e+00
3.861111e-01	-8.131157e-01
3.888889e-01	9.429545e-01
3.916667e-01	2.689572e+00
3.944444e-01	4.427080e+00
3.972222e-01	6.155808e+00
4.000000e-01	7.876075e+00
4.027778e-01	9.588188e+00
4.055556e-01	1.129244e+01
4.083333e-01	1.298912e+01
4.111111e-01	1.467849e+01
4.138889e-01	1.636081e+01
4.166667e-01	1.803633e+01
4.194444e-01	1.970528e+01
4.222222e-01	2.136788e+01
4.250000e-01	2.302434e+01
4.277778e-01	2.467485e+01
4.305556e-01	2.631961e+01
4.333333e-01	2.795878e+01
4.361111e-01	2.959251e+01
4.388889e-01	3.122097e+01
4.416667e-01	3.284427e+01
4.444444e-01	3.446255e+01
4.472222e-01	3.607590e+01
4.500000e-01	3.768444e+01
4.527778e-01	3.928824e+01
4.555556e-01	4.088738e+01
4.583333e-01	4.248191e+01
4.611111e-01	4.407189e+01
4.638889e-01	4.565735e+01
4.666667e-01	4.723831e+01
4.694444e-01	4.881479e+01
4.722222e-01	5.038679e+01
4.750000e-01	5.195429e+01
4.777778e-01	5.351728e+01
4.805556e-01	5.507572e+01
4.833333e-01	5.662956e+01
4.861111e-01	5.817874e+01
4.888889e-01	5.972321e+01
4.916667e-01	6.126287e+01
4.944444e-01	6.279765e+01
4.972222e-01	6.432743e+01
5.000000e-01	6.585211e+01
5.027778e-01	6.737157e+01
5.055556e-01	6.888568e+01
5.083333e-01	7.039429e+01
5.111111e-01	7.189726e+01
5.138889e-01	7.339442e+01
5.166667e-01	7.488562e+01
5.194444e-01	7.637066e+01
5.222222e-01	7.784937e+01
5.250000e-01	7.932154e+01
5.277778e-01	8.078698e+01
5.305556e-01	8.224548e+01
5.333333e-01	8.369681e+01
5.361111e-01	8.514075e+01
5.388889e-01	8.657708e+01
5.416667e-01	8.800554e+01
5.444444e-01	8.942589e+01
5.472222e-01	9.083789e+01
5.500000e-01	9.224127e+01
5.527778e-01	9.363577e+01
5.555556e-01	9.502112e+01
5.583333e-01	9.639705e+01
5.611111e-01	9.776328e+01
5.638889e-01	9.911953e+01
5.666667e-01	1.004655e+02
5.694444e-01	1.018009e+02
5.722222e-01	1.031255e+02
5.750000e-01	1.044389e+02
5.777778e-01	1.057408e+02
5.805556e-01	1.070311e+02
5.833333e-01	1.083092e+02
5.861111e-01	1.095750e+02
5.888889e-01	1.108281e+02
5.916667e-01	1.120682e+02
5.944444e-01	1.132950e+02
5.972222e-01	1.145082e+02
6.000000e-01	1.157074e+02
6.027778e-01	1.168925e+02
6.055556e-01	1.180629e+02
6.083333e-01	1.192185e+02
6.111111e-01	1.203589e+02
6.138889e-01	1.214838e+02
6.166667e-01	1.225928e+02
6.194444e-01	1.236857e+02
6.222222e-01	1.247621e+02
6.250000e-01	1.258218e+02
6.277778e-01	1.268643e+02
6.305556e-01	1.278894e+02
6.333333e-01	1.288968e+02
6.361111e-01	1.298862e+02
6.388889e-01	1.308572e+02
6.416667e-01	1.318095e+02
6.444444e-01	1.327429e+02
6.472222e-01	1.336569e+02
6.500000e-01	1.345513e+02
6.527778e-01	1.354258e+02
6.555556e-01	1.362801e+02
6.583333e-01	1.371138e+02
6.611111e-01	1.379266e+02
6.638889e-01	1.387182e+02
6.666667e-01	1.394884e+02
6.694444e-01	1.402367e+02
6.722222e-01	1.409629e+02
6.750000e-01	1.416667e+02
6.777778e-01	1.423477e+02
6.805556e-01	1.430057e+02
6.833333e-01	1.436402e+02
6.861111e-01	1.442510e+02
6.888889e-01	1.448378e+02
6.916667e-01	1.454002e+02
6.944444e-01	1.459380e+02
6.972222e-01	1.464507e+02
7.000000e-01	1.469380e+02
7.027778e-01	1.473996e+02
7.055556e-01	1.478351e+02
7.083333e-01	1.482443e+02
7.111111e-01	1.486267e+02
7.138889e-01	1.489820e+02
7.166667e-01	1.493098e+02
7.194444e-01	1.496098e+02
7.222222e-01	1.498815e+02
7.250000e-01	1.501246e+02
7.277778e-01	1.503387e+02
7.305556e-01	1.505234e+02
7.333333e-01	1.506783e+02
7.361111e-01	1.508030e+02
7.388889e-01	1.508970e+02
7.416667e-01	1.509599e+02
7.444444e-01	1.509913e+02
7.472222e-01	1.509907e+02
7.500000e-01	1.509576e+02
7.527778e-01	1.508915e+02
7.555556e-01	1.507920e+02
7.583333e-01	1.506585e+02
7.611111e-01	1.504906e+02
7.638889e-01	1.502876e+02
7.666667e-01	1.500491e+02
7.694444e-01	1.497744e+02
7.722222e-01	1.494630e+02
7.750000e-01	1.491143e+02
7.777778e-01	1.487276e+02
7.805556e-01	1.483023e+02
7.833333e-01	1.478378e+02
7.861111e-01	1.473334e+02
7.888889e-01	1.467884e+02
7.916667e-01	1.462021e+02
7.944444e-01	1.455737e+02
7.972222e-01	1.449024e+02
8.000000e-01	1.441876e+02
8.027778e-01	1.434283e+02
8.055556e-01	1.426238e+02
8.083333e-01	1.417732e+02
8.111111e-01	1.408756e+02
8.138889e-01	1.399302e+02
8.166667e-01	1.389359e+02
8.194444e-01	1.378918e+02
8.222222e-01	1.367970e+02
8.250000e-01	1.356503e+02
8.277778e-01	1.344509e+02
8.305556e-01	1.331976e+02
8.333333e-01	1.318892e+02
8.361111e-01	1.305248e+02
8.388889e-01	1.291031e+02
8.416667e-01	1.276229e+02
8.444444e-01	1.260830e+02
8.472222e-01	1.244822e+02
8.500000e-01	1.228192e+02
8.527778e-01	1.210926e+02
8.555556e-01	1.193013e+02
8.583333e-01	1.174437e+02
8.611111e-01	1.155185e+02
8.638889e-01	1.135244e+02
8.666667e-01	1.114598e+02
8.694444e-01	1.093233e+02
8.722222e-01	1.071134e+02
8.750000e-01	1.048286e+02
8.777778e-01	1.024675e+02
8.805556e-01	1.000284e+02
8.833333e-01	9.750984e+01
8.861111e-01	9.491023e+01
8.888889e-01	9.222804e+01
8.916667e-01	8.946169e+01
8.944444e-01	8.660963e+01
8.972222e-01	8.367031e+01
9.000000e-01	8.064220e+01
9.027778e-01	7.752378e+01
9.055556e-01	7.431357e+01
9.083333e-01	7.101011e+01
9.111111e-01	6.761200e+01
9.138889e-01	6.411788e+01
9.166667e-01	6.052646e+01
9.194444e-01	5.683651e+01
9.222222e-01	5.304690e+01
9.250000e-01	4.915658e+01
9.277778e-01	4.516461e+01
9.305556e-01	4.107019e+01
9.333333e-01	3.687264e+01
9.361111e-01	3.257143e+01
9.388889e-01	2.816623e+01
9.416667e-01	2.365685e+01
9.444444e-01	1.904336e+01
9.472222e-01	1.432601e+01
9.500000e-01	9.505326e+00
9.527778e-01	4.582087e+00
9.555556e-01	-4.426360e-01
9.583333e-01	-5.567460e+00
9.611111e-01	-1.079067e+01
9.638889e-01	-1.611020e+01
9.666667e-01	-2.152359e+01
9.694444e-01	-2.702800e+01
9.722222e-01	-3.262015e+01
9.750000e-01	-3.829634e+01
9.777778e-01	-4.405236e+01
9.805556e-01	-4.988358e+01
9.833333e-01	-5.578482e+01
9.861111e-01	-6.175041e+01
9.888889e-01	-6.777414e+01
9.916667e-01	-7.384928e+01
9.944444e-01	-7.996856e+01
9.972222e-01	-8.612415e+01
1.000000e+00	-9.230769e+01


