"(No Title)"
	"2026-08-"	"4 13:36:35"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"MEA_ALPHA5_2026"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MAK324_ADAMS_STUDENT.Last_Run.MEA_ALPHA5_2026.TIME"	".MAK324_ADAMS_STUDENT.Last_Run.MEA_ALPHA5_2026.Q"
0.000000e+00	-5.479530e+02
2.777778e-03	-5.498106e+02
5.555556e-03	-5.516265e+02
8.333333e-03	-5.534045e+02
1.111111e-02	-5.551482e+02
1.388889e-02	-5.568615e+02
1.666667e-02	-5.585484e+02
1.944444e-02	-5.602128e+02
2.222222e-02	-5.618587e+02
2.500000e-02	-5.634902e+02
2.777778e-02	-5.651114e+02
3.055556e-02	-5.667264e+02
3.333333e-02	-5.683395e+02
3.611111e-02	-5.699548e+02
3.888889e-02	-5.715767e+02
4.166667e-02	-5.732094e+02
4.444444e-02	-5.748573e+02
4.722222e-02	-5.765248e+02
5.000000e-02	-5.782161e+02
5.277778e-02	-5.799357e+02
5.555556e-02	-5.816881e+02
5.833333e-02	-5.834776e+02
6.111111e-02	-5.853087e+02
6.388889e-02	-5.871858e+02
6.666667e-02	-5.891135e+02
6.944444e-02	-5.910961e+02
7.222222e-02	-5.931382e+02
7.500000e-02	-5.952442e+02
7.777778e-02	-5.974186e+02
8.055556e-02	-5.996658e+02
8.333333e-02	-6.019904e+02
8.611111e-02	-6.043968e+02
8.888889e-02	-6.068894e+02
9.166667e-02	-6.094726e+02
9.444444e-02	-6.121510e+02
9.722222e-02	-6.149288e+02
1.000000e-01	-6.178105e+02
1.027778e-01	-6.208004e+02
1.055556e-01	-6.239029e+02
1.083333e-01	-6.271223e+02
1.111111e-01	-6.304629e+02
1.138889e-01	-6.339289e+02
1.166667e-01	-6.375245e+02
1.194444e-01	-6.412540e+02
1.222222e-01	-6.451214e+02
1.250000e-01	-6.491309e+02
1.277778e-01	-6.532864e+02
1.305556e-01	-6.575919e+02
1.333333e-01	-6.620514e+02
1.361111e-01	-6.666686e+02
1.388889e-01	-6.714474e+02
1.416667e-01	-6.763913e+02
1.444444e-01	-6.815041e+02
1.472222e-01	-6.867890e+02
1.500000e-01	-6.922495e+02
1.527778e-01	-6.978889e+02
1.555556e-01	-7.037101e+02
1.583333e-01	-7.097162e+02
1.611111e-01	-7.159098e+02
1.638889e-01	-7.222937e+02
1.666667e-01	-7.288702e+02
1.694444e-01	-7.356414e+02
1.722222e-01	-7.426093e+02
1.750000e-01	-7.497756e+02
1.777778e-01	-7.571416e+02
1.805556e-01	-7.647085e+02
1.833333e-01	-7.724769e+02
1.861111e-01	-7.804473e+02
1.888889e-01	-7.886195e+02
1.916667e-01	-7.969933e+02
1.944444e-01	-8.055675e+02
1.972222e-01	-8.143407e+02
2.000000e-01	-8.233110e+02
2.027778e-01	-8.324756e+02
2.055556e-01	-8.418313e+02
2.083333e-01	-8.513741e+02
2.111111e-01	-8.610993e+02
2.138889e-01	-8.710011e+02
2.166667e-01	-8.810732e+02
2.194444e-01	-8.913080e+02
2.222222e-01	-9.016971e+02
2.250000e-01	-9.122308e+02
2.277778e-01	-9.228982e+02
2.305556e-01	-9.336872e+02
2.333333e-01	-9.445843e+02
