"(No Title)"
	"2026-08-"	"4 13:36:35"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"MEA_THETA3_2026"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MAK324_ADAMS_STUDENT.Last_Run.MEA_THETA3_2026.TIME"	".MAK324_ADAMS_STUDENT.Last_Run.MEA_THETA3_2026.Q"
0.000000e+00	-5.948976e+01
2.777778e-03	-5.975478e+01
5.555556e-03	-6.003705e+01
8.333333e-03	-6.033658e+01
1.111111e-02	-6.065334e+01
1.388889e-02	-6.098731e+01
1.666667e-02	-6.133840e+01
1.944444e-02	-6.170651e+01
2.222222e-02	-6.209149e+01
2.500000e-02	-6.249318e+01
2.777778e-02	-6.291136e+01
3.055556e-02	-6.334580e+01
3.333333e-02	-6.379621e+01
3.611111e-02	-6.426229e+01
3.888889e-02	-6.474369e+01
4.166667e-02	-6.524002e+01
4.444444e-02	-6.575087e+01
4.722222e-02	-6.627579e+01
5.000000e-02	-6.681431e+01
5.277778e-02	-6.736590e+01
5.555556e-02	-6.793004e+01
5.833333e-02	-6.850614e+01
6.111111e-02	-6.909362e+01
6.388889e-02	-6.969185e+01
6.666667e-02	-7.030021e+01
6.944444e-02	-7.091803e+01
7.222222e-02	-7.154463e+01
7.500000e-02	-7.217934e+01
7.777778e-02	-7.282144e+01
8.055556e-02	-7.347025e+01
8.333333e-02	-7.412503e+01
8.611111e-02	-7.478508e+01
8.888889e-02	-7.544969e+01
9.166667e-02	-7.611814e+01
9.444444e-02	-7.678973e+01
9.722222e-02	-7.746377e+01
1.000000e-01	-7.813955e+01
1.027778e-01	-7.881641e+01
1.055556e-01	-7.949370e+01
1.083333e-01	-8.017076e+01
1.111111e-01	-8.084697e+01
1.138889e-01	-8.152174e+01
1.166667e-01	-8.219446e+01
1.194444e-01	-8.286459e+01
1.222222e-01	-8.353159e+01
1.250000e-01	-8.419494e+01
1.277778e-01	-8.485416e+01
1.305556e-01	-8.550877e+01
1.333333e-01	-8.615836e+01
1.361111e-01	-8.680249e+01
1.388889e-01	-8.744080e+01
1.416667e-01	-8.807291e+01
1.444444e-01	-8.869849e+01
1.472222e-01	-8.931723e+01
1.500000e-01	-8.992884e+01
1.527778e-01	-9.053306e+01
1.555556e-01	-9.112966e+01
1.583333e-01	-9.171840e+01
1.611111e-01	-9.229910e+01
1.638889e-01	-9.287158e+01
1.666667e-01	-9.343568e+01
1.694444e-01	-9.399127e+01
1.722222e-01	-9.453823e+01
1.750000e-01	-9.507645e+01
1.777778e-01	-9.560585e+01
1.805556e-01	-9.612636e+01
1.833333e-01	-9.663793e+01
1.861111e-01	-9.714050e+01
1.888889e-01	-9.763406e+01
1.916667e-01	-9.811858e+01
1.944444e-01	-9.859405e+01
1.972222e-01	-9.906048e+01
2.000000e-01	-9.951788e+01
2.027778e-01	-9.996627e+01
2.055556e-01	-1.004057e+02
2.083333e-01	-1.008361e+02
2.111111e-01	-1.012577e+02
2.138889e-01	-1.016704e+02
2.166667e-01	-1.020743e+02
2.194444e-01	-1.024695e+02
2.222222e-01	-1.028560e+02
2.250000e-01	-1.032339e+02
2.277778e-01	-1.036033e+02
2.305556e-01	-1.039642e+02
2.333333e-01	-1.043167e+02
2.361111e-01	-1.046609e+02
2.388889e-01	-1.049969e+02
2.416667e-01	-1.053247e+02
2.444444e-01	-1.056445e+02
2.472222e-01	-1.059563e+02
2.500000e-01	-1.062602e+02
2.527778e-01	-1.065563e+02
2.555556e-01	-1.068447e+02
2.583333e-01	-1.071255e+02
2.611111e-01	-1.073987e+02
2.638889e-01	-1.076645e+02
2.666667e-01	-1.079229e+02
2.694444e-01	-1.081740e+02
2.722222e-01	-1.084178e+02
2.750000e-01	-1.086546e+02
2.777778e-01	-1.088844e+02
2.805556e-01	-1.091071e+02
2.833333e-01	-1.093230e+02
2.861111e-01	-1.095321e+02
2.888889e-01	-1.097345e+02
2.916667e-01	-1.099303e+02
2.944444e-01	-1.101194e+02
2.972222e-01	-1.103021e+02
